year,collection_date,otter_id,tooth_id,area,age,age_class,certainty_code,matson_min,matson_max,matson_notes,sex,tooth_category,latitude,longitude
2006,2006-04-04T00:00:00Z,SOD-2006-01,SOD-2006-01,WPWS,9,3,A,9,10,NA,F,P,60.494798,-147.687435
2006,2006-04-04T00:00:00Z,SOD-2006-01,SOD-2006-01,WPWS,11,3,A,10,12,NA,F,P,60.494798,-147.687435
2007,2007-04-24T00:00:00Z,SOD-2007-06,SOD-2007-06,WPWS,9,3,A,8,10,NA,U,P,60.27211,-147.34799
2007,2007-04-24T00:00:00Z,SOD-2007-06,SOD-2007-06,WPWS,4,2,B,4,5,NA,U,P,60.27211,-147.34799
2007,2007-04-25T00:00:00Z,SOD-2007-10,SOD-2007-10,WPWS,4,2,B,4,5,NA,F,P,60.29606,-147.40134
2007,2007-04-25T00:00:00Z,SOD-2007-10,SOD-2007-10,WPWS,4,2,A,NA,NA,NA,F,P,60.29606,-147.40134
2007,2007-04-26T00:00:00Z,SOD-2007-12,SOD-2007-12,WPWS,2,2,A,NA,NA,NA,F,P,60.4370724839318,-147.63491
2007,2007-04-26T00:00:00Z,SOD-2007-12,SOD-2007-12,WPWS,3,2,A,NA,NA,NA,F,P,60.4370724839318,-147.63491
2008,2008-08-15T00:00:00Z,APD-2008-28,APD-2008-28,KATM,7,2,B,7,8,NS,U,UNK,58.57494,-153.7146
2008,2008-08-15T00:00:00Z,APD-2008-28,APD-2008-28,KATM,7,2,B,7,8,NS,U,UNK,58.57494,-153.7146
2008,2008-08-15T00:00:00Z,APD-2008-30,APD-2008-30,KATM,8,2,B,7,8,NA,U,P,58.57494,-153.7146
2008,2008-08-15T00:00:00Z,APD-2008-30,APD-2008-30,KATM,5,2,B,4,6,NS,U,C,58.57494,-153.7146
2008,2008-08-15T00:00:00Z,APD-2008-31,APD-2008-31,KATM,9,3,A,9,10,NA,M,P,58.57494,-153.7146
2008,2008-08-15T00:00:00Z,APD-2008-31,APD-2008-31,KATM,7,2,B,6,8,NS,M,C,58.57494,-153.7146
2013,2013-05-06T00:00:00Z,SOD-2013-03,SOD-2013-03,WPWS,14,3,A,13,14,NA,M,P,60.2591,-147.50165
2013,2013-05-06T00:00:00Z,SOD-2013-03,SOD-2013-03,WPWS,11,3,A,11,12,NA,M,UNK,60.2591,-147.50165
2013,2013-05-09T00:00:00Z,SOD-2013-41,SOD-2013-41,WPWS,8,2,A,8,9,NA,M,P,60.53068,-147.34337
2013,2013-05-09T00:00:00Z,SOD-2013-41,SOD-2013-41,WPWS,14,3,B,14,16,BR,M,P,60.53068,-147.34337
2013,2013-07-11T00:00:00Z,KATM-SOD-2013-18,KATM-SOD-2013-18,KATM,11,3,A,10,12,NA,U,UNK,58.44062,-154.02842
2013,2013-07-11T00:00:00Z,KATM-SOD-2013-18,KATM-SOD-2013-18,KATM,8,2,B,7,8,NA,U,C,58.44062,-154.02842
2019,2019-06-08T00:00:00Z,SOD-2019-21,SOD-2019-622,WPWS,2,2,B,1,2,NA,U,P,60.27689,-147.43657
2019,2019-06-08T00:00:00Z,SOD-2019-21,SOD-2019-21,WPWS,0,1,A,NA,NA,NA,U,M,60.27689,-147.43657
2019,2019-07-08T00:00:00Z,SOD-2019-26,SOD-2019-600,KATM,6,2,A,NA,NA,NA,M,P,58.575388,-153.7124
2019,2019-07-08T00:00:00Z,SOD-2019-26,SOD-2019-26,KATM,2,2,B,2,3,NA,M,P,58.575388,-153.7124
2019,2019-07-08T00:00:00Z,SOD-2019-27,SOD-2019-601,KATM,5,2,A,NA,NA,NA,U,P,58.57531,-153.712457
2019,2019-07-08T00:00:00Z,SOD-2019-27,SOD-2019-27,KATM,4,2,A,NA,NA,NA,U,P,58.57531,-153.712457
2019,2019-07-08T00:00:00Z,SOD-2019-28,SOD-2019-602,KATM,4,2,B,3,5,NA,U,P,58.57531,-153.712457
2019,2019-07-08T00:00:00Z,SOD-2019-28,SOD-2019-28,KATM,4,2,A,NA,NA,NA,U,P,58.57531,-153.712457
2019,2019-07-07T00:00:00Z,SOD-2019-29,SOD-2019-603,KATM,4,2,A,NA,NA,NA,U,P,58.44043,-154.02856
2019,2019-07-07T00:00:00Z,SOD-2019-29,SOD-2019-29,KATM,3,2,B,3,4,NA,U,P,58.44043,-154.02856
2019,2019-07-08T00:00:00Z,SOD-2019-36,SOD-2019-604,KATM,3,2,A,NA,NA,NA,F,P,58.57514,-153.712626
2019,2019-07-08T00:00:00Z,SOD-2019-36,SOD-2019-36,KATM,7,2,B,7,8,NA,F,P,58.57514,-153.712626
2019,2019-06-30T00:00:00Z,SOD-2019-38,SOD-2019-605,KATM,9,3,A,NA,NA,NA,U,P,58.87446,-153.32857
2019,2019-06-30T00:00:00Z,SOD-2019-38,SOD-38-2019,KATM,6,2,A,NA,NA,NA,U,P,58.87446,-153.32857
2019,2019-06-30T00:00:00Z,SOD-2019-38,SOD-2019-38,KATM,8,2,B,7,9,NA,U,P,58.87446,-153.32857
2019,2019-07-08T00:00:00Z,SOD-2019-40,SOD-2019-606,KATM,0,1,A,NA,NA,NA,U,P,58.56458,-153.72731
2019,2019-07-08T00:00:00Z,SOD-2019-40,SOD-2019-40,KATM,1,1,A,NA,NA,NA,U,P,58.56458,-153.72731
2019,2019-07-08T00:00:00Z,SOD-2019-41,SOD-2019-607,KATM,1,1,A,NA,NA,NA,F,P,58.56599,-153.72542
2019,2019-07-08T00:00:00Z,SOD-2019-41,SOD-2019-41,KATM,2,2,B,1,2,NA,F,P,58.56599,-153.72542
2019,2019-07-08T00:00:00Z,SOD-2019-53,SOD-2019-608,KATM,5,2,B,4,6,NA,U,P,58.575312,-153.712457
2019,2019-07-08T00:00:00Z,SOD-2019-53,SOD-2019-53,KATM,6,2,B,6,7,NA,U,P,58.575312,-153.712457
2019,2019-07-08T00:00:00Z,SOD-2019-97,SOD-2019-609,KATM,1,1,A,NA,NA,NA,U,P,58.57521,-153.712239
2019,2019-07-08T00:00:00Z,SOD-2019-97,SOD-2019-97,KATM,1,1,A,NA,NA,NA,U,P,58.57521,-153.712239
2021,2021-06-24T00:00:00Z,SOD-2021-201,SOD-2021-218,KATM,5,2,A,NA,NA,NA,U,C,58.60418,-153.762624
2021,2021-06-24T00:00:00Z,SOD-2021-201,SOD-2021-219,KATM,6,2,A,NA,NA,NA,U,M,58.60418,-153.762624
2021,2021-06-24T00:00:00Z,SOD-2021-201,SOD-2021-220,KATM,5,2,B,5,6,NA,U,I,58.60418,-153.762624
2021,2021-06-24T00:00:00Z,SOD-2021-201,SOD-2021-201,KATM,7,2,A,NA,NA,NA,U,P,58.60418,-153.762624
2021,2021-06-24T00:00:00Z,SOD-2021-202,SOD-2021-221,KATM,7,2,B,7,8,NA,U,I,58.603729,-153.764097
2021,2021-06-24T00:00:00Z,SOD-2021-202,SOD-2021-202,KATM,9,3,A,NA,NA,NA,U,P,58.603729,-153.764097
2021,2021-06-24T00:00:00Z,SOD-2021-204,SOD-2021-214,KATM,6,2,B,5,6,NA,U,C,58.60373,-153.76981
2021,2021-06-24T00:00:00Z,SOD-2021-204,SOD-2021-215,KATM,4,2,B,4,5,NA,U,M,58.60373,-153.76981
2021,2021-06-24T00:00:00Z,SOD-2021-204,SOD-2021-216,KATM,5,2,B,5,6,I3,U,I,58.60373,-153.76981
2021,2021-06-24T00:00:00Z,SOD-2021-204,SOD-2021-204,KATM,9,3,A,9,10,NA,U,P,58.60373,-153.76981
2021,2021-06-03T00:00:00Z,SOD-2021-206,SOD-2021-217,KATM,4,2,B,4,5,NA,U,I,58.85114,-153.3103
2021,2021-06-03T00:00:00Z,SOD-2021-206,SOD-2021-206,KATM,4,2,B,4,5,NA,U,P,58.85114,-153.3103
2021,2021-06-25T00:00:00Z,SOD-2021-207,SOD-2021-223,KATM,1,1,A,NA,NA,NA,U,C,58.603792,-153.767158
2021,2021-06-25T00:00:00Z,SOD-2021-207,SOD-2021-224,KATM,2,2,A,NA,NA,NA,U,M,58.603792,-153.767158
2021,2021-06-25T00:00:00Z,SOD-2021-207,SOD-2021-225,KATM,2,2,A,NA,NA,I3,U,I,58.603792,-153.767158
2021,2021-06-25T00:00:00Z,SOD-2021-207,SOD-2021-207,KATM,1,1,A,NA,NA,NA,U,P,58.603792,-153.767158
2021,NA,SOD-2021-208,SOD-2021-222,KATM,6,2,B,5,7,NA,U,M,58.85114,-153.3103
2021,NA,SOD-2021-208,SOD-2021-208,KATM,8,2,A,NA,NA,NA,U,P,58.85114,-153.3103
2021,2021-06-07T00:00:00Z,SOD-2021-209,SOD-2021-211,KATM,1,1,A,NA,NA,NA,U,I,58.84955,-153.33202
2021,2021-06-07T00:00:00Z,SOD-2021-209,SOD-2021-212,KATM,2,2,B,1,2,NA,U,M,58.84955,-153.33202
2021,2021-06-07T00:00:00Z,SOD-2021-209,SOD-2021-213,KATM,1,1,A,NA,NA,NA,U,C,58.84955,-153.33202
2021,2021-06-07T00:00:00Z,SOD-2021-209,SOD-2021-209,KATM,1,1,B,1,2,NA,U,P,58.84955,-153.33202
2022,2022-06-08T00:00:00Z,SOD-2022-07,SOD-2022-116,WPWS,4,2,B,4,5,NA,U,M,60.25134,-147.48987
2022,2022-06-08T00:00:00Z,SOD-2022-07,SOD-2022-07,WPWS,2,2,A,NA,NA,NA,U,I,60.25134,-147.48987
2022,2022-06-08T00:00:00Z,SOD-2022-08,SOD-2022-117,WPWS,7,2,A,NA,NA,NA,U,I,60.29241,-147.40587
2022,2022-06-08T00:00:00Z,SOD-2022-08,SOD-2022-118,WPWS,9,3,A,NA,NA,NA,U,C,60.29241,-147.40587
2022,2022-06-08T00:00:00Z,SOD-2022-08,SOD-2022-119,WPWS,13,3,A,12,14,NA,U,M,60.29241,-147.40587
2022,2022-06-08T00:00:00Z,SOD-2022-08,SOD-2022-08,WPWS,10,3,A,10,11,NA,U,P,60.29241,-147.40587
2022,2022-05-27T00:00:00Z,SOD-2022-28,SOD-2022-147,WPWS,6,2,B,5,7,NA,F,C,60.272,-147.4468
