otter_id,age1,age2,age_diff,age_class1,age_class2,certainty_code1,certainty_code2,tooth_category1,tooth_category2,age_agreement,age_class_agreement,certainty_code_combo,tooth_category_combo,certainty_category,year,area
APD-2008-28,7,7,0,2,2,B,B,UNK,UNK,1,1,BB,UNK,High,2008,KATM
APD-2008-30,8,5,3,2,2,B,B,P,C,0,1,BB,PC,Low,2008,KATM
APD-2008-31,9,7,2,3,2,A,B,P,C,0,0,AB,PC,High,2008,KATM
KATM-SOD-2013-18,11,8,3,3,2,A,B,UNK,C,0,0,AB,UNK,Low,2013,KATM
SOD-2006-01,9,11,2,3,3,A,A,P,P,0,1,AA,PP,High,2006,WPWS
SOD-2007-06,9,4,5,3,2,A,B,P,P,0,0,AB,PP,Low,2007,WPWS
SOD-2007-10,4,4,0,2,2,B,A,P,P,1,1,AB,PP,High,2007,WPWS
SOD-2007-12,2,3,1,2,2,A,A,P,P,0,1,AA,PP,High,2007,WPWS
SOD-2013-03,14,11,3,3,3,A,A,P,UNK,0,1,AA,UNK,Low,2013,WPWS
SOD-2013-41,8,14,6,2,3,A,B,P,P,0,0,AB,PP,Low,2013,WPWS
SOD-2019-21,2,0,2,2,1,B,A,P,M,0,0,AB,MP,High,2019,WPWS
SOD-2019-26,6,2,4,2,2,A,B,P,P,0,1,AB,PP,Low,2019,KATM
SOD-2019-27,5,4,1,2,2,A,A,P,P,0,1,AA,PP,High,2019,KATM
SOD-2019-28,4,4,0,2,2,B,A,P,P,1,1,AB,PP,High,2019,KATM
SOD-2019-29,4,3,1,2,2,A,B,P,P,0,1,AB,PP,High,2019,KATM
SOD-2019-36,3,7,4,2,2,A,B,P,P,0,1,AB,PP,Low,2019,KATM
SOD-2019-38,9,6,3,3,2,A,A,P,P,0,0,AA,PP,Low,2019,KATM
SOD-2019-38,9,8,1,3,2,A,B,P,P,0,0,AB,PP,High,2019,KATM
SOD-2019-38,6,8,2,2,2,A,B,P,P,0,1,AB,PP,High,2019,KATM
SOD-2019-40,0,1,1,1,1,A,A,P,P,0,1,AA,PP,High,2019,KATM
SOD-2019-41,1,2,1,1,2,A,B,P,P,0,0,AB,PP,High,2019,KATM
SOD-2019-53,5,6,1,2,2,B,B,P,P,0,1,BB,PP,High,2019,KATM
SOD-2019-97,1,1,0,1,1,A,A,P,P,1,1,AA,PP,High,2019,KATM
SOD-2021-201,5,6,1,2,2,A,A,C,M,0,1,AA,MC,High,2021,KATM
SOD-2021-201,5,5,0,2,2,A,B,C,I,1,1,AB,CI,High,2021,KATM
SOD-2021-201,5,7,2,2,2,A,A,C,P,0,1,AA,PC,High,2021,KATM
SOD-2021-201,6,5,1,2,2,A,B,M,I,0,1,AB,MI,High,2021,KATM
SOD-2021-201,6,7,1,2,2,A,A,M,P,0,1,AA,MP,High,2021,KATM
SOD-2021-201,5,7,2,2,2,B,A,I,P,0,1,AB,PI,High,2021,KATM
SOD-2021-202,7,9,2,2,3,B,A,I,P,0,0,AB,PI,High,2021,KATM
SOD-2021-204,6,4,2,2,2,B,B,C,M,0,1,BB,MC,High,2021,KATM
SOD-2021-204,6,5,1,2,2,B,B,C,I,0,1,BB,CI,High,2021,KATM
SOD-2021-204,6,9,3,2,3,B,A,C,P,0,0,AB,PC,Low,2021,KATM
SOD-2021-204,4,5,1,2,2,B,B,M,I,0,1,BB,MI,High,2021,KATM
SOD-2021-204,4,9,5,2,3,B,A,M,P,0,0,AB,MP,Low,2021,KATM
SOD-2021-204,5,9,4,2,3,B,A,I,P,0,0,AB,PI,Low,2021,KATM
SOD-2021-206,4,4,0,2,2,B,B,I,P,1,1,BB,PI,High,2021,KATM
SOD-2021-207,1,2,1,1,2,A,A,C,M,0,0,AA,MC,High,2021,KATM
SOD-2021-207,1,2,1,1,2,A,A,C,I,0,0,AA,CI,High,2021,KATM
SOD-2021-207,1,1,0,1,1,A,A,C,P,1,1,AA,PC,High,2021,KATM
SOD-2021-207,2,2,0,2,2,A,A,M,I,1,1,AA,MI,High,2021,KATM
SOD-2021-207,2,1,1,2,1,A,A,M,P,0,0,AA,MP,High,2021,KATM
